item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Duelo al sol","Manuel Marsol",Manuel,Marsol,9788417617141,8417617140,"Ya está todo listo: tenemos el lejano Oeste, tenemos un indio y un vaquero. Muy bien. ¡Que dé comienzo el duelo! Manuel Marsol, el multipremiado autor de «El tiempo del gigante» y «Yokai», rinde tributo a su pasión por el Oeste con el relato de un dilatado y tenso duelo entre dos mundos que acabará convirtiéndose en una parábola sobre la necesidad de entendimiento.","Fulgencio Pimentel S.L.",2019-03-25,3-8,"ilustración artística, poco texto","Le encanta a la tía Pichu",20.00,104,,,,,,,4.5,,,,,,2025-12-20,1
book,"La calavera","Jon Klassen, Gemma Rovira",Jon,Klassen,9788410025868,8410025868,"«Klassen es un tesoro nacional, y su versión de esta fábula tirolesa una absoluta maravilla.» THE NEW YORK TIMES «Divertido y exquisito. Cualquier inquietud que los niños entre 6 y 10 años puedan tener acerca de una calavera parlante se disipará a la luz de la actitud amistosa y tierna de este simpático personaje.» THE WALL STREET JOURNAL Klassen es uno de los mejores ilustradores del mundo, y de los pocos en haber ganado los dos premios más prestigiosos de Reino Unido: la medalla Caldecott y la medalla Greenaway. La calavera es una antigua leyenda. Trata de una niña llamada Otilia que se escapa. También trata de una casa en medio del bosque, y de una calavera que vive allí, y del secreto que tiene la calavera, y de la noche en que Otilia descubre el secreto. El galardonado autor de libros ilustrados Jon Klassen adapta con su enorme talento para contar historias este escalofriante cuento del folklore tirolés.","Blackie Books",2024-10-16,,,,,120,,,,,,,,,,,,,2025-12-20,1
book,"Diógenes (Spanish Edition)","Pablo Albo, Pablo Auladell",Pablo,Albo,9788492608287,8492608285,"En esta familia se ""colecciona"" de todo, desde charcos, hasta dunas, pasando por cartas de amor. Una micronovela llena de ternura y humor.",Kalandraka,2010-03-25,"visto en persona","ilustración artística","Escuchamos a Albo en Maliaño con Sara y Vera en 2024",,48,,,,,,,,,,,,,2025-12-20,1
book,"Buenas noches, luna",,,,9788484705611,8484705617,,,,0-3,poético,"Leido por todos los niños cantaribeños",,32,,,,,,,,,,,,,2025-12-20,1
book,"Que Sonaran Las Camas? (Spanish Edition)","Mar Benegas, Ester Garcia",Mar,Benegas,9788494417245,849441724X,,"Libre Albedrio",2018-04-20,,,,,56,,,,,,,,,,,,,2025-12-20,1
book,"Cuentos en verso para ninos perversos","Roald Dahl",Roald,Dahl,9788491221258,8491221255,,"Santillana Educación, S.L.",2016-01-01,1-4,,"Las madres cantaribeñas de niñas y de adultas lo disfrutan por igual",,64,,,,,,,4.0,,,,,,2025-12-20,1
book,Konrad,"Christine Nöstlinger",Christine,Nöstlinger,9788420464466,8420464465,,"Ediciones Alfaguara",2005-09-30,,,,,,,,,,,,,,,,,,2025-12-20,1
book,"Las manos de mi padre","Deok-Kyu Choi, Minjeong Kang",Deok-Kyu,Choi,9788412669039,8412669037,"Esas manos, que en su día cuidaron, necesitan ser cuidadas ahora. Un homenaje a la paternidad. Un canto a la vida y a los cuidados.","Litera Libros",2023-11-16,,"ilustración artística, ternura","Para matar y resucitar padres cantaribeños",,44,,,,,,,,,,,,,2025-12-20,1
book,"Oso que no estaba, El","OREN LAVIE",OREN,LAVIE,9788415208693,8415208693,"Rare book","COLOFON, S.A.",2013-01-01,,,,,,,,,,,,,,,,,,2025-12-20,1
book,"Chinto pinto (Spanish Edition)","Joaquín Gutiérrez",Joaquín,Gutiérrez,9789977671093,9977671095,,"Editorial Universidad de Costa Rica",1989-01-01,3-8,,"Comprado en Costa Rica",,76,,,,,,,,,,,,,2025-12-20,1
